title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
CONVERSE CTAS HI BRAND NEW,Converse,Unknown,Unisex,Other,45.0,999.0,8,nwt,Unknown,Shoes,76
Converse Size 8 Womens Chuck 70 High Floral Embroidery Pink Coral used 561652C,Converse,pink,Male,Other,49.0,140.0,8,not_nwt,Unknown,Shoes,2
CONVERSE CTAS LIFT OX,Converse,Unknown,Unisex,Other,55.0,95.0,9,not_nwt,Unknown,Shoes,44
CONVERSE CTAS LIFT HI,Converse,Unknown,Unisex,Other,50.0,999.0,6.5,nwt,Unknown,Shoes,17
Converse Womens 13 Men’s 11 Shoes Sneakers Low Top Lace Up Black White #0858,Converse,black,Male,Shoe,16.0,79.0,13,not_nwt,Unknown,Shoes,653
Converse W8/M6 White All Leather Low Top Sneaker,Converse,Unknown,Unisex,Other,30.0,75.0,8,Unknown,Unknown,Shoes,223
Converse Black Leather Mary Jane Platform Sneakers Size 8.5,Converse,black,Unisex,Shoe,36.0,36.0,8.5,not_nwt,Unknown,Shoes,31
Converse White Low-Top Sneakers with Red and Blue Accents,Converse,red,Unisex,Shoe,25.0,25.0,8,Unknown,Unknown,Shoes,0
CONVERSE RUN STAR UTILITY SANDALS BRAND 🔥 NEW,Converse,Unknown,Unisex,Other,62.0,555.0,8,nwt,Unknown,Shoes,100
NWT👟 Converse CONS Check Point Pro OX  Low Top SZ-W8 / M6.5,Converse,red,Male,Shirt,57.0,999.0,8,nwt,Unknown,Shoes,386
CONVERSE CHUCK TAYLOR HI BRAND 🔥 NEW,Converse,Unknown,Unisex,Other,89.0,999.0,Various,nwt,Unknown,Shoes,458
Converse Brand new in the box no lid,Converse,Unknown,Male,Shirt,95.0,150.0,6.5,nwt,Unknown,Shoes,268
Converse High top Brand new,Converse,Unknown,Male,Shirt,50.0,130.0,7,nwt,Unknown,Shoes,119
Converse High top Brand new platform in the box no lid.,Converse,Unknown,Male,Shirt,95.0,130.0,8,nwt,Unknown,Shoes,210
Converse Run Star Hike Hi Sherpa Farro Women's Platform Sneakers A04258C NWT,Converse,Unknown,Male,Shoe,85.0,999.0,6.5,nwt,Unknown,Shoes,490
Converse Gray Shiny Stripe Maroon Women’s Size 7,Converse,Unknown,Unisex,Other,18.0,18.0,7,Unknown,Unknown,Shoes,141
"Black Converse All Star High Tops. Women's 8, Men's 6 Chuck Taylor",Converse,black,Male,Shoe,30.0,60.0,8,not_nwt,Unknown,Shoes,6
New Converse Platform Women’s Size 6 Hi Tops Eternal Earth / Egret / Pink,Converse,pink,Unisex,Other,41.0,95.0,6,nwt,Unknown,Shoes,87
Converse Daisy Platform Sneakers,Converse,Unknown,Unisex,Other,53.0,90.0,6,Unknown,Unknown,Shoes,5
Converse Chuck Taylor All Star Core Oxford Sneaker Optical White Womens 8 Mens 6,Converse,red,Unisex,Other,34.0,60.0,8,Unknown,Unknown,Shoes,0
Converse Women's Lugged Leather High Top Shoes sz 9,Converse,Unknown,Male,Shoe,48.0,48.0,9,not_nwt,Unknown,Shoes,119
Converse Crafted Leather Boots in Dark Brown Size 7,Converse,brown,Male,Shoe,55.0,55.0,7,not_nwt,Unknown,Shoes,19
Converse Peach Canvas All Stars Women's Size 7.5,Converse,Unknown,Male,Other,35.0,35.0,7.5,not_nwt,Unknown,Shoes,5
Converse Platform Sneakers Women's Size 8,Converse,Unknown,Male,Shoe,50.0,50.0,8,not_nwt,Unknown,Shoes,12
CONVERSE Black Nylon Hightops Women's Size 9,Converse,black,Male,Shoe,39.0,39.0,9,not_nwt,Unknown,Shoes,33
Converse Womens Chuck Taylor All Star Lugged 2.0 172057C Black Sneakers Size 6.5,Converse,black,Male,Shoe,24.0,120.0,6.5,not_nwt,Unknown,Shoes,14
